Έσοδα,Κωδικός εσόδου,Κατηγορία,Ευρώ
,11,Φόροι,62.055.000.000
,12,Κοινωνικές εισφορές,60.000.000
,13,Μεταβιβάσεις,8.131.000.000
,14,Πωλήσεις αγαθών και υπηρεσιών,2.405.000.000
,15,Λοιπά τρέχοντα έσοδα,2.775.000.000
,31,Πάγια Περιουσιακά Στοιχεία,37.000.000
,43,Χρεωστικοί τίτλοι,11.000.000
,44,Δάνεια,20.000.000
,45,"Συμμετοχικοί τίτλοι και μερίδια επενδυτικών
κεφαλαίων",467.000.000
,52,Υποχρεώσεις από νόμισμα και καταθέσεις,66.000.000
,53,Χρεωστικοί τίτλοι (υποχρεώσεις),25.973.000.000
,54,Δάνεια,1.202.027.000.000
,57,Χρηματοοικονομικά παράγωγα,800.000.000